"x","mx_lost_none_to_lost_mom","se_mx_lost_none_to_lost_mom","mx_lost_none_to_lost_dad","se_mx_lost_none_to_lost_dad","mx_lost_none_to_lost_both","se_mx_lost_none_to_lost_both","mx_lost_dad_to_lost_both","se_mx_lost_dad_to_lost_both","mx_lost_mom_to_lost_both","se_mx_lost_mom_to_lost_both","sex","race"
"[5,10)",0.00158752678598863,0.000353362735802132,0.00437285904142734,0.000816586980066039,0,0,0.00959793195135449,0.00502936413680111,0.00840473059292297,0.00886147054213663,"female","non-hispanic black"
"[5,10)",0.0021933232973049,0.000577681720969088,0.00289812579286692,0.000620543110121378,7.73965361774781e-05,7.53863273559956e-05,0.00226325370305821,0.00210278062061769,0,0,"male","non-hispanic black"
"[5,10)",0.00101090839008241,0.00013362300383411,0.00199929220691041,0.000181923985856656,6.59776284282903e-06,6.50078071750051e-06,0.00441858824428483,0.00218283933477277,0.0110768181626314,0.00462244708329112,"female","non-hispanic white"
"[5,10)",0.000605929390009842,9.70923441362857e-05,0.00174321094038722,0.000178946460954748,1.80650219355246e-05,1.37290532793783e-05,0.00238954782160559,0.0014223002185416,0.00634466426384515,0.00465798026213337,"male","non-hispanic white"
"[10,15)",0.00118901294279853,0.000282390440257941,0.00318081831549601,0.000465202442697612,0.000101309651506663,6.99526199268256e-05,0.000880352205478597,0.000876864892924293,0.00975881323230064,0.00705892237699829,"female","hispanic"
"[10,15)",0.00092412662423039,0.000247159691036024,0.00216620071416632,0.00042303256740404,0,0,0.00427743147632159,0.00413238089847143,0,0,"male","hispanic"
"[10,15)",0.00246003983217728,0.00085595575350881,0.00493787874012112,0.000935164134188218,0.000113379404620581,0.000115805020463276,0.00608753095877842,0.00393130928723154,0.00781777237680494,0.00588073338916783,"female","non-hispanic black"
"[10,15)",0.0027649716552892,0.000627453566794633,0.00416976108340156,0.000810124358522989,7.52623556638187e-05,7.6367345535055e-05,0.00261789908002954,0.00197389645874952,0.0126878854778637,0.0121330056358284,"male","non-hispanic black"
"[10,15)",0.00103268580896986,0.000134009122363953,0.00338058737480734,0.000261592698706774,4.37630113202736e-05,3.26402529133018e-05,0.00179000926125485,0.00137273185852955,0.00332960741917238,0.00200750356085613,"female","non-hispanic white"
"[10,15)",0.00100612653108868,0.000140810912697667,0.00269131588272666,0.000201709656727776,2.30881453826418e-05,1.63799396684608e-05,0.0032927826567661,0.0016079567904128,0.00750737712305829,0.00301641908927249,"male","non-hispanic white"
