"sex","race","x","lx","dx","Lx","pr_lost_none","pr_lost_mom","pr_lost_dad","pr_lost_both","mx_lost_none_to_lost_mom","mx_lost_none_to_lost_dad","mx_lost_none_to_lost_both","mx_lost_dad_to_lost_both","mx_lost_mom_to_lost_both","Lx_lost_mom","Lx_lost_dad","Lx_lost_both","Lx_lost_none","dx_lost_mom_to_dead","dx_lost_dad_to_dead","dx_lost_both_to_dead","dx_lost_none_to_dead","dx_lost_none_to_lost_mom","dx_lost_none_to_lost_dad","dx_lost_none_to_lost_both","dx_lost_mom_to_lost_both","dx_lost_dad_to_lost_both","ex_lost_none","ex_lost_mom","ex_lost_dad","ex_lost_both","ex","lx_lost_mom","lx_lost_dad","lx_lost_both","lx_lost_none"
"male","all","[20,25)",98740.9296875,780.082611083984,491866.6796875,0.955125704999473,0.0121737965476685,0.0299607896211459,0.00273970883171272,0.0121737965476685,0.0299607896211459,0.00273970883171272,0.0837818675963705,0.18370656408523,5987.88488709284,14736.7141117687,1347.57148636505,469794.509202273,9.49656699771041,23.3718909978014,2.13719921905231,745.07695386942,5710.11235899148,14053.0913615123,1285.05887204079,1098.26917705195,1232.71128984072,26.7120336508622,2.79242866810017,8.01339900248985,17.5202877930056,55.0381491144578,10492.6472353435,26939.4524484776,4045.5863602238,57263.244583778
"male","all","[25,30)",97960.84375,966.362808227539,487459.4296875,0.903363652964563,0.0241172024377279,0.0700899638255252,0.00242918077218369,0.0241172024377279,0.0700899638255252,0.00242918077218369,0.0334970963275873,0.0915070332924564,11756.1577459528,34166.013793208,1184.1270738165,440353.131074523,23.3059674743148,67.7323342710012,2.34746995269977,872.977036529523,10599.0318422981,30803.1480985592,1067.57673994542,1073.63845830869,1142.1934186352,22.1290103713265,2.75354016524736,7.92677690009142,17.6460498645671,50.4553773012324,15094.9938502853,39736.4606291514,7659.4884999382,35469.9050373639
"male","all","[30,35)",96994.484375,1179.09350585938,482109.6015625,0.856895367508407,0.0425152889874945,0.0844855638700096,0.016103779634089,0.0425152889874945,0.0844855638700096,0.016103779634089,0.160094291036235,0.27471913172226,20497.0290340755,40731.3015351535,7763.78678304093,413117.48421023,50.1295011448893,99.6163796979958,18.9878619863448,1010.35976303014,17520.853489678,34817.1027837699,6636.48231773578,5617.15448609898,6504.90082857015,17.8095013070491,2.65976938589393,7.65350467442759,17.809649874885,45.9324252422556,24597.0812668005,69329.6829748044,10940.5496468748,-7872.82867996836
"male","all","[35,40)",95815.3828125,1395.81063842773,475678.5703125,0.806417973213376,0.0498065086884656,0.121280253197389,0.022495264900769,0.0498065086884656,0.121280253197389,0.022495264900769,0.156461024785952,0.311130194793983,23691.8888451864,57690.417448072,10700.5154467988,383595.748572443,69.5204546903037,169.284267644125,31.3991300627434,1125.60678603056,19049.5024399636,46386.0756362973,8603.76715612003,7349.63207883028,8999.81544425898,13.7170658141067,2.4785783256938,7.32258659755697,17.9477863496712,41.4660170870287,36450.6507692346,97542.2685503062,29680.0994172934,-67857.6270341823
"male","all","[40,45)",94419.5703125,1688.09075927734,468034.1875,0.714835940381089,0.069436238376459,0.180709857000691,0.0350179642417611,0.069436238376459,0.180709857000691,0.0350179642417611,0.162324748101939,0.335247059132237,32498.5334115823,84578.3910945596,16389.6044417967,334567.658552062,117.214672362279,305.054639713197,59.1135018452213,1206.70794535665,23147.3304317301,60241.6097137521,11673.6218479451,10855.7418781471,13679.6481117429,9.85717431661762,2.26429797926783,6.81983637971802,18.0997805712071,37.0410892468106,48081.0006756777,134759.2444747,54601.9149664399,-143022.579052594
"male","all","[45,50)",92731.4765625,2234.16796875,458358.1640625,0.567640266348188,0.0952880036153364,0.228101110280059,0.108970619756417,0.0952880036153364,0.228101110280059,0.108970619756417,0.323286143707823,0.53349336227577,43676.0343943064,104552.006128586,49947.5732083039,260182.550331304,212.889405483519,509.616194224019,243.458668194622,1268.20370084784,24671.4311977854,59058.6499338431,28214.0568161485,23187.2993551664,33635.4630240254,6.42869635011787,1.95505901092988,6.03190685854093,18.2525282955171,32.6681905151058,60255.3745568984,181016.151436996,90751.8133024297,-239291.848991378
"male","all","[50,55)",90497.3125,3165.63629150391,445064.78125,0.421570347460937,0.100199924934578,0.265318841058569,0.212910886545916,0.100199924934578,0.265318841058569,0.212910886545916,0.445206297844374,0.679985739039803,44595.4576722743,118084.071957236,94759.1371463018,187626.114474188,317.196518778867,839.902952074763,673.998429306023,1334.53839134425,18666.4019394452,49426.6650652745,39663.5046198344,30108.586133857,52197.8424266277,3.71237493474826,1.52070233528804,5.02551524224972,18.1512166632994,28.4098091755854,61526.6169940339,205929.72215259,175545.173829575,-352504.190640002
"male","all","[55,60)",87331.6796875,4595.23516845703,425808.5546875,0.205670321536436,0.0965851780440843,0.295527282294993,0.402217218124487,0.0965851780440843,0.295527282294993,0.402217218124487,0.576453440883699,0.806365849911749,41126.7950671864,125838.044944756,171267.532320015,87576.1823555433,443.83160689986,1358.01736084048,1848.28270608459,945.103494632097,8367.27817593222,25601.8472980483,34844.5115425587,32805.3524075826,71756.9402220458,1.69851124636188,1.06518066658785,3.85554878366028,17.7241202164701,24.3433609130801,49767.2362808432,202318.641839162,296841.108580588,-461595.300655901
"male","all","[60,Inf)",82736.4453125,82736.4432373047,1700138.04309082,0.0357368967798008,0.0305252987705827,0.12403316736918,0.809704637080437,0.0305252987705827,0.12403316736918,0.809704637080437,0.867164886354483,0.963670303248997,51897.2217165812,210873.506449394,1376609.6571675,60757.6577573491,2525.55464903409,10262.0631115833,66992.081744788,2956.7437318994,1764.39016983962,7169.2304434102,46801.6681138943,47578.0093748916,173963.199463442,0.734351802616902,0.627259504811484,2.54873781019856,16.6384916824498,20.5488408000768,24885.3304422929,154805.531554324,434399.630046691,-531354.041167072
"all","hispanic","[0,5)",1e+05,540.440454483032,497544.6796875,0.998247914026976,0,0.00175208597302414,0,0,0.00175208597302414,0,0,NA,0,871.741054233256,0,496672.938633267,0,0.94689813955451,0,539.493556343478,0,869.268449867418,0,NA,0,45.8355391406778,3.20635175371902,10.49599647308,18.3920194953161,77.929906862793,0,0,0,1e+05
