"sex","race","x","name","value"
"all","all","[7,8)","lx_lost_both",-0.0152097484639753
"all","all","[7,8)","lx_lost_none",99192.4611535116
"all","all","[8,9)","lx",99342.21875
"all","all","[8,9)","dx",9.93586921691895
"all","all","[8,9)","Lx",99337.25
"all","all","[8,9)","pr_lost_none",0.983298391766037
"all","all","[8,9)","pr_lost_mom",0.0056306483220696
"all","all","[8,9)","pr_lost_dad",0.00671310045833085
"all","all","[8,9)","pr_lost_both",0.00435785945356283
"all","all","[8,9)","mx_lost_none_to_lost_mom",0
"all","all","[8,9)","mx_lost_none_to_lost_dad",0.00226201461285796
"all","all","[8,9)","mx_lost_none_to_lost_both",0
"all","all","[8,9)","mx_lost_dad_to_lost_both",0.179221977357451
"all","all","[8,9)","mx_lost_mom_to_lost_both",0
"all","all","[8,9)","Lx_lost_mom",559.333120031508
"all","all","[8,9)","Lx_lost_dad",666.860938504326
"all","all","[8,9)","Lx_lost_both",432.897774003435
"all","all","[8,9)","Lx_lost_none",97678.1581674607
"all","all","[8,9)","dx_lost_mom_to_dead",0.0559453853345477
"all","all","[8,9)","dx_lost_dad_to_dead",0.066700488194014
"all","all","[8,9)","dx_lost_both_to_dead",0.0432991215963142
"all","all","[8,9)","dx_lost_none_to_dead",9.76992422179407
"all","all","[8,9)","dx_lost_none_to_lost_mom",0
"all","all","[8,9)","dx_lost_none_to_lost_dad",220.927321420491
"all","all","[8,9)","dx_lost_none_to_lost_both",0
"all","all","[8,9)","dx_lost_mom_to_lost_both",0
"all","all","[8,9)","dx_lost_dad_to_lost_both",119.504181827806
"all","all","[8,9)","ex_lost_none",38.5960682027359
"all","all","[8,9)","ex_lost_mom",3.07477786670348
"all","all","[8,9)","ex_lost_dad",8.87221724128546
"all","all","[8,9)","ex_lost_both",18.956509204509
"all","all","[8,9)","ex",69.4995725152338
"all","all","[8,9)","lx_lost_mom",-0.387503435700465
"all","all","[8,9)","lx_lost_dad",160.813301542933
"all","all","[8,9)","lx_lost_both",-0.0152097484639753
"all","all","[8,9)","lx_lost_none",99181.8151043903
"all","all","[9,10)","lx",99332.28125
"all","all","[9,10)","dx",9.1861162185669
"all","all","[9,10)","Lx",99327.6875
"all","all","[9,10)","pr_lost_none",0.98930802942692
"all","all","[9,10)","pr_lost_mom",0.00245319638804428
"all","all","[9,10)","pr_lost_dad",0.00823877418503523
"all","all","[9,10)","pr_lost_both",0
"all","all","[9,10)","mx_lost_none_to_lost_mom",0
