"race","sex","age","w","s_lost_none","s_lost_mom","s_lost_dad","s_lost_both","s_lost_none0","s_lost_mom0","s_lost_dad0","i_lost_none_to_lost_mom","i_lost_none_to_lost_dad","i_lost_dad_to_lost_both","i_lost_mom_to_lost_both","i_lost_none_to_lost_both"
"non-hispanic white","female",80,2874.1680919,0,0,0,1,1,1,1,0,0,1,1,1
"hispanic","male",27,9195.9304709,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic asian","female",31,9195.9304709,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","male",2,8774.5487437,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",85,4030.3941409,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",77,4159.1473245,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",75,4159.1473245,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",51,10683.993374,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",75,5114.3264774,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",75,5114.3264774,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic other","male",40,5679.6204609,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",34,5679.6204609,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","female",51,5129.3114103,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic other","male",56,5129.3114103,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic other","female",78,3611.0835006,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic other","male",34,3992.9957855,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","female",34,3992.9957855,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",14,5752.413202,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","female",9,5891.9462533,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",54,8882.3208851,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",28,5558.3021575,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",48,8065.4546999,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","female",46,8065.4546999,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic asian","female",73,6444.5054206,0,0,0,1,1,1,1,0,0,1,1,1
"hispanic","male",74,4568.422122,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",66,6680.0657108,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",40,6661.2299262,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",43,6661.2299262,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",15,5735.4343447,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",14,6157.6325576,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",12,5228.0393595,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",55,4556.1501124,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic other","female",53,13250.004229,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic other","female",32,9994.1677749,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","female",60,4163.1756359,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",62,3425.7376317,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",58,9617.4708437,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",21,12856.923156,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",84,2532.9263969,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",17,4867.615441,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","female",67,3749.054342,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic other","male",15,7912.3468173,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","female",88,4799.2229706,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic other","male",59,5151.90593,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",83,2918.2262291,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",60,4940.6727171,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic other","female",35,7271.6698487,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",65,5145.948578,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",24,11625.993214,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",69,4670.4998707,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",57,10765.708394,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",44,10765.708394,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic asian","male",22,6443.4586972,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","male",62,9499.5034116,0,0,0,1,1,1,1,0,0,1,1,1
"hispanic","male",28,13183.892966,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",41,12417.629619,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",49,12417.629619,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",73,7227.4870382,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",70,7227.4870382,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",65,6940.7439783,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","male",50,7320.4689264,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",4,11620.298705,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",67,6791.2546997,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",59,6599.2364855,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",29,8559.3596457,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",33,8055.2438613,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",79,2685.9833845,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic other","male",30,5483.9001561,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","male",59,8201.1431154,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",54,8201.1431154,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",24,10093.251225,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",28,9039.7041676,1,0,0,0,1,0,0,0,0,0,0,0
