"x","pr_lost_none","se_pr_lost_none","pr_lost_mom","se_pr_lost_mom","pr_lost_dad","se_pr_lost_dad","pr_lost_both","se_pr_lost_both","sex","race"
"[30,31)",0.886769910456477,0.0219283103631528,0.0293667995558752,0.0128845812699668,0.0673710364532452,0.017065027456248,0.0164922535344031,0.0101068133628644,"male","all"
"[31,32)",0.858528596872115,0.025643289896937,0.0367121498721267,0.0114189142765643,0.0914155477785887,0.0222994938929038,0.0133437054771699,0.00712398510612169,"female","all"
"[31,32)",0.858792210999677,0.0247569255714638,0.054276748835629,0.0181909417881441,0.0699874022713451,0.0161735057311279,0.0169436378933475,0.00735378327083085,"male","all"
"[32,33)",0.840325043359895,0.0290114003530793,0.0629277135057604,0.0242572477280202,0.0813508978028918,0.0154208691410938,0.0153963453314526,0.00924690772640174,"female","all"
"[32,33)",0.858231488892325,0.0273333191203271,0.0468552158444206,0.0162428707055502,0.0830564318319955,0.0213665737722315,0.0118568634312593,0.00509644528323247,"male","all"
"[33,34)",0.806154276304652,0.0275883248371563,0.054291666302047,0.0150280340859385,0.128897763653492,0.0242271812416063,0.0106562937398089,0.00726861001432869,"female","all"
"[33,34)",0.883154949173309,0.0219793856391847,0.0315108077363278,0.0107032361950961,0.0645258145752093,0.0167705076480242,0.020808428515154,0.0081126592444351,"male","all"
"[34,35)",0.797517182768657,0.0278388068016048,0.0578945201304827,0.0155772515822488,0.116822397079851,0.0243193900966763,0.0277659000210094,0.0109563950191104,"female","all"
"[34,35)",0.844237827249299,0.0242476779991205,0.0333805522866888,0.0118858948141405,0.115819601347954,0.021416959555416,0.00656201911605754,0.00637560323531462,"male","all"
"[35,36)",0.796692973908513,0.0260342905419426,0.0681210916346472,0.0179022500170103,0.11297810102443,0.0231092951275903,0.0222078334324097,0.0103238576156172,"female","all"
"[35,36)",0.82668680749935,0.0266179088476967,0.0389006844401295,0.0121317947975821,0.11652194760172,0.0233277049442529,0.0178905604587996,0.00916598200523863,"male","all"
"[36,37)",0.838300698902008,0.0257780959638513,0.0593123424486132,0.0154071050058318,0.0983900043008842,0.0201568545767794,0.00399695434849426,0.00292521079848187,"female","all"
"[36,37)",0.829556883017252,0.0241116945260436,0.0290394994626089,0.00989220973073957,0.125406812963163,0.0237523971816902,0.0159968045569767,0.00742696354533279,"male","all"
"[37,38)",0.782380599708007,0.0292988524872796,0.0431079903192709,0.0128463617894152,0.14761683120237,0.0258683980273489,0.0268945787703522,0.00961847518627717,"female","all"
"[37,38)",0.813066569105684,0.0255695540257218,0.0543222634355559,0.0137178543309321,0.0938132968136627,0.0202693096093296,0.0387978706450976,0.0128887868153174,"male","all"
"[38,39)",0.751053302958494,0.0315220892547595,0.0659306252509019,0.0169317228653582,0.152517910610004,0.0255342967110022,0.0304981611806009,0.0107165605356919,"female","all"
"[38,39)",0.828884965514732,0.0240973687991395,0.0637907129132137,0.0161340819863811,0.0884842690209194,0.0162464717968996,0.0188400525511347,0.00941265226636775,"male","all"
"[39,40)",0.716389706821417,0.0269552719676239,0.0693696963065671,0.0166811586520759,0.185153694807378,0.0229773970706925,0.0290869020646371,0.00940868280227259,"female","all"
"[39,40)",0.820267758251617,0.0244405972335403,0.0339205990419239,0.0125331620937411,0.130861260195802,0.0219928406353809,0.0149503825106573,0.00628788416951429,"male","all"
"[40,41)",0.780808942638168,0.0285664825686214,0.0640518514447419,0.0175098364398624,0.129759429377636,0.0232535914200545,0.0253797765394541,0.0106720605143565,"female","all"
"[40,41)",0.736536286636489,0.0310319150080534,0.068986826611531,0.0163602356305546,0.180128223899832,0.0285002474818443,0.014348662852148,0.00678482592774562,"male","all"
"[41,42)",0.715653502579262,0.0301138531384414,0.0606592402425064,0.0143883579374629,0.169599492456672,0.0256457620850138,0.0540877647215596,0.0165085026970183,"female","all"
"[41,42)",0.734467226499836,0.0269667157489173,0.073870949807258,0.0156643693593929,0.171943317168892,0.0254668139830266,0.0197185065240151,0.00815170413883509,"male","all"
"[42,43)",0.67777880221261,0.031051672039433,0.0472071291278935,0.0130102058269267,0.215066046811769,0.0280443018081832,0.0599480218477277,0.0156307279595484,"female","all"
"[42,43)",0.683481788562501,0.0324248827914406,0.0789465066633309,0.0153367656199005,0.199668168245097,0.0285303872664168,0.0379035365290718,0.011694020692104,"male","all"
"[43,44)",0.685595722242709,0.0291185640461877,0.0713341825098558,0.0145049111623078,0.191766176455411,0.0254766278132842,0.0513039187920238,0.0162477514263036,"female","all"
"[43,44)",0.785692339960191,0.0260161695945068,0.0571829408379224,0.0140697460820526,0.11788973905013,0.0210432930887916,0.0392349801517566,0.0135272358263144,"male","all"
"[44,45)",0.683895297605613,0.0299303788899814,0.0602584610203657,0.014993196948754,0.201604660266917,0.0277097365040608,0.0542415811071034,0.0134869680550729,"female","all"
"[44,45)",0.68969107898949,0.0278017192288706,0.0642504288134988,0.0156436800463111,0.19182669598669,0.0231155094519234,0.0542317962103212,0.0115810124567115,"male","all"
"[45,46)",0.623386378749097,0.0317141216021536,0.0804887437498007,0.016765025618699,0.215904603758526,0.0283255036687301,0.0802202737425763,0.0177013048616445,"female","all"
"[45,46)",0.642346479931311,0.0356032872214016,0.0875994430590733,0.0240865942012477,0.212004248403129,0.0318479621265087,0.058049828606486,0.016382787985616,"male","all"
"[46,47)",0.562271538698687,0.037373936705973,0.129315213897057,0.0273898495182797,0.23319246123118,0.0301544615904062,0.0752207861730758,0.0177133735522655,"female","all"
"[46,47)",0.604828802822989,0.0379570914814721,0.0529446889710482,0.0160145607995762,0.259713045809526,0.0339665269949559,0.0825134623964362,0.0193430989647263,"male","all"
"[47,48)",0.587280925471158,0.032740430130761,0.0795047952717951,0.0173347656956999,0.230611171583288,0.0293106551467096,0.102603107673759,0.0199590944680815,"female","all"
"[47,48)",0.513946394290364,0.0372413643005378,0.120093644600264,0.0228785112043906,0.234894658705677,0.0290241687242516,0.131065302403694,0.0254936474913519,"male","all"
"[48,49)",0.589501913512753,0.0319970014507081,0.0651895076622178,0.0169726143675157,0.243027499417547,0.0277891108974544,0.102281079407482,0.0198112526980404,"female","all"
"[48,49)",0.566804533738626,0.0319658254864759,0.0873390862935332,0.0186960686640074,0.256612905605102,0.0320850966338597,0.0892434743627394,0.0174887784834351,"male","all"
"[49,50)",0.536474756225357,0.0314458956086514,0.096415579390441,0.0177571679746046,0.272355858295341,0.0293588496114763,0.09475380608886,0.0169154963656887,"female","all"
"[49,50)",0.580350080988293,0.0337659292858891,0.104434484329311,0.0188652976320982,0.204849467494044,0.0285155563357424,0.110365967188352,0.021451395101525,"male","all"
