ind,race,x,state,mean,se_mean,sd,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,n_eff,Rhat
"1,11,2",hispanic,50,lost_mom,8055.548573377262,19.596881761673657,1164.3295270039787,5776.000768068059,6171.037471720925,6580.8710867193595,7279.88486939223,8035.852512742313,8818.434680251929,9557.186202623521,9983.831539897425,10321.43579094297,3530.0257851622073,1.0007947527277685
"1,11,3",hispanic,50,lost_dad,23446.8714761648,27.920431408087214,1960.4072838588331,19682.016778098765,20288.335344259034,21001.21216877376,22143.01821587667,23394.967423657767,24716.49385226371,25966.756746380528,26729.95012759225,27392.56784872281,4930.016423361123,0.999886710411141
"1,11,4",hispanic,50,lost_both,14715.349695099854,18.50069751712368,996.8350915849118,12870.323666128279,13141.978178236028,13444.456635664872,14035.162203889247,14685.157762974126,15377.05480868946,15987.071202376414,16362.923451554017,16802.251398092834,2903.156386719666,1.002044916110642
"1,12,1",hispanic,55,lost_none,36338.848126628705,34.81369127475769,2499.1258419687756,31281.448249939007,32200.188281780484,33117.52982704718,34713.74047523058,36398.19852097478,38043.89763936513,39486.35078380502,40347.21221917983,41173.48967543521,5153.189381275165,0.9998330886447518
"1,12,2",hispanic,55,lost_mom,7202.18614931973,23.526391054948675,1486.722549369139,4308.303742780813,4734.644738136441,5290.753613242456,6220.018171861989,7208.5451959979655,8178.179832295665,9095.034670712244,9643.068077076898,10183.623875471243,3993.4590355015152,1.001093703423322
"1,12,3",hispanic,55,lost_dad,23268.825674047956,33.91306560306964,2440.868688939171,18524.505012947302,19290.36983227352,20151.352665197417,21624.129304489357,23258.480758283644,24870.004320633885,26357.829306287716,27274.79298193342,28037.25938148907,5180.297871047202,0.9997854815978402
"1,12,4",hispanic,55,lost_both,23363.003778694485,22.816116438689228,1474.2713797673975,20630.98939332895,20998.496723806446,21500.761263665572,22358.30558909288,23315.44734269294,24300.43669882467,25268.22497069697,25881.853220843954,26421.92798345092,4175.143628039139,1.0017208565231706
"1,13,1",hispanic,60,lost_none,27627.031725036733,40.927789200321364,2900.069346841576,21770.679678440127,22835.16718777371,23952.749351210576,25739.872119316875,27642.347819777657,29568.470899371034,31344.649643962188,32345.059818164318,33175.99439423672,5020.884071393924,0.9996802231401828
"1,13,2",hispanic,60,lost_mom,4997.230515487131,28.56481900310936,1881.539841640742,1293.9054930830175,1865.493537663519,2543.6247463221293,3766.7713069560996,5019.657269223569,6264.219006139606,7381.444928638124,8085.855536946056,8760.119997808062,4338.7425881072695,1.000521141510142
"1,13,3",hispanic,60,lost_dad,18963.359745227666,42.290531576166735,3037.2983941946554,12963.898809361293,13982.460222079344,15065.388497472648,16973.97593558921,18975.152528114966,20991.516146750604,22779.545236735423,23925.301225842755,24901.664318191244,5158.086642278033,0.9998400581394989
