ind,race,x,transition,mean,se_mean,sd,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,n_eff,Rhat,svy_mean,svy_se
"1,9,5",hispanic,40,lost_dad_to_lost_both,0.019029453591195084,3.6520184033831756e-5,0.0022821884931293122,0.014817754835827769,0.015524917408344533,0.016231334521598282,0.017447040062440085,0.018900140535011663,0.020471693189602014,0.021926866569277274,0.022990797870618192,0.023948616279620517,3905.144494447202,0.9999599585680939,0.018133034045414,0.00302138559666892
"1,10,1",hispanic,45,lost_none_to_lost_mom,0.013589659621163756,2.411179766630793e-5,0.001663478885939546,0.010550584202097054,0.010976390602924862,0.011524133783937306,0.012417864056441219,0.01351832962335827,0.014678511539537774,0.015743591035087,0.016404434887091986,0.017034006828891803,4759.654234494697,0.9999467519664004,0.0121911970807254,0.00190608944124259
"1,10,2",hispanic,45,lost_none_to_lost_dad,0.028009824987750023,4.2083260295194534e-5,0.0031808192041127875,0.022089069863705013,0.022951165728019057,0.024067693792910728,0.025884168678946815,0.027935879818137846,0.029976179539566314,0.03200769972284956,0.033412785152076636,0.034667900195631415,5712.934079969876,0.9994894691754252,0.028568236955079,0.00267296605549888
"1,10,3",hispanic,45,lost_none_to_lost_both,0.0010246116958724676,8.562999187370894e-6,3.044722446266577e-4,4.66099489817703e-4,5.46045345806784e-4,6.453478759211877e-4,8.167519192517037e-4,0.0010084219898099538,0.0012179800177604405,0.0014187162099724372,0.0015496295912317951,0.001656696729885008,1264.2810028750505,1.0012722003005385,9.0042808113073e-4,4.9076410599247e-4
"1,10,4",hispanic,45,lost_mom_to_lost_both,0.05403207619521833,9.774757730033141e-5,0.006587973719561785,0.04214867711275207,0.04389390185674048,0.04603161437127236,0.04954060661229953,0.05358602384887576,0.058147969682204446,0.06258639009555077,0.06544896514022791,0.06845868819398065,4542.466277603308,0.9999480706833694,0.0459095464873852,0.00750463251083503
"1,10,5",hispanic,45,lost_dad_to_lost_both,0.027558809322714515,4.560084031047669e-5,0.0032303479119717335,0.021814764129360304,0.022584110174268472,0.02353952366383786,0.025376179266181045,0.02738148150314672,0.029587191156083728,0.03173871018086517,0.033027159118600345,0.03432787432302738,5018.257082998468,0.9998398188057579,0.0238158143028442,0.00319796957301999
"1,11,1",hispanic,50,lost_none_to_lost_mom,0.018893356346631765,4.1555162634986266e-5,0.002373319278656993,0.01455827949324204,0.015267488455114327,0.016015061426321676,0.01727018940012367,0.01873921437668482,0.020387431159735236,0.021964357449762453,0.022999829237080393,0.023796773223683638,3261.837801016916,1.0003858679980442,0.0209485653218021,0.00316508793797861
"1,11,2",hispanic,50,lost_none_to_lost_dad,0.038415237914217956,6.308917382497687e-5,0.004655814739540617,0.03008262779238028,0.0311892023710235,0.032598150542920853,0.03523984163021465,0.038181038855327656,0.041396410553355655,0.044392368987738996,0.0463463618949109,0.04823682591937548,5446.050966848487,0.999727129663954,0.0430498892538216,0.00479975019079709
"1,11,3",hispanic,50,lost_none_to_lost_both,0.0015867771685927137,1.6172423341862054e-5,5.577910728526103e-4,6.256128069147019e-4,7.5803327465342e-4,9.148635570269065e-4,0.0011880933178027885,0.0015332723594725498,0.0019346402089125653,0.002325190187785775,0.002591416785821589,0.0028133916182133947,1189.577979255194,1.0011173676765905,0.00518646356634536,0.00154156895584384
"1,11,4",hispanic,50,lost_mom_to_lost_both,0.07175935554918028,1.1982965775396957e-4,0.008883560415662276,0.055433381831956084,0.05814213266192826,0.06076461533894356,0.06561004109976018,0.07130268306812695,0.07737071066791593,0.08324193223227065,0.08719890945871013,0.09131534708614747,5495.984290177223,0.9996012614605664,0.0742052341672441,0.00971492707608797
