"sex","race","x","name","value"
"all","all","[16,17)","se_Lx_lost_both",159.370397414188
"all","all","[16,17)","se_Lx_lost_none",777.455276018254
"all","all","[16,17)","se_dx_lost_mom_to_dead",0.225816574305719
"all","all","[16,17)","se_dx_lost_dad_to_dead",0.28484126573823
"all","all","[16,17)","se_dx_lost_both_to_dead",0.0765110039282673
"all","all","[16,17)","se_dx_lost_none_to_dead",0.37324299018275
"all","all","[17,18)","se_pr_lost_none",0.00973119778720529
"all","all","[17,18)","se_pr_lost_mom",0.00505869970540743
"all","all","[17,18)","se_pr_lost_dad",0.00846821536860614
"all","all","[17,18)","se_pr_lost_both",0.00126091895366119
"all","all","[17,18)","se_mx_lost_none_to_lost_mom",0
"all","all","[17,18)","se_mx_lost_none_to_lost_dad",0.00309339431311351
"all","all","[17,18)","se_mx_lost_none_to_lost_both",0
"all","all","[17,18)","se_mx_lost_dad_to_lost_both",0
"all","all","[17,18)","se_mx_lost_mom_to_lost_both",0
"all","all","[17,18)","se_Lx_lost_mom",501.454595161934
"all","all","[17,18)","se_Lx_lost_dad",839.430240318338
"all","all","[17,18)","se_Lx_lost_both",124.991329840018
"all","all","[17,18)","se_Lx_lost_none",964.626115601919
"all","all","[17,18)","se_dx_lost_mom_to_dead",0.29220378240754
"all","all","[17,18)","se_dx_lost_dad_to_dead",0.489146362711222
"all","all","[17,18)","se_dx_lost_both_to_dead",0.0728339907536539
"all","all","[17,18)","se_dx_lost_none_to_dead",0.562099544619689
"all","all","[18,19)","se_pr_lost_none",0.00987960322755059
"all","all","[18,19)","se_pr_lost_mom",0.00511261208089811
"all","all","[18,19)","se_pr_lost_dad",0.00834191606985564
"all","all","[18,19)","se_pr_lost_both",0.000746223536849518
"all","all","[18,19)","se_mx_lost_none_to_lost_mom",0
"all","all","[18,19)","se_mx_lost_none_to_lost_dad",0.00265322254316866
"all","all","[18,19)","se_mx_lost_none_to_lost_both",0
"all","all","[18,19)","se_mx_lost_dad_to_lost_both",0
"all","all","[18,19)","se_mx_lost_mom_to_lost_both",0
"all","all","[18,19)","se_Lx_lost_mom",506.477001450547
"all","all","[18,19)","se_Lx_lost_dad",826.385528680758
"all","all","[18,19)","se_Lx_lost_both",73.9240633506021
"all","all","[18,19)","se_Lx_lost_none",978.715329666078
"all","all","[18,19)","se_dx_lost_mom_to_dead",0.348268184526755
"all","all","[18,19)","se_dx_lost_dad_to_dead",0.568246508663891
"all","all","[18,19)","se_dx_lost_both_to_dead",0.0508323166939868
